county_fips,state_fips,never,rarely,sometimes,frequently,always
36103,36000,4.0%,1.9%,5.3%,10.6%,78.2%
36105,36000,2.4%,3.0%,4.3%,8.5%,81.7%
36107,36000,1.9%,1.1%,1.8%,11.4%,83.9%
36109,36000,1.2%,1.0%,4.6%,9.8%,83.3%
36111,36000,1.4%,2.3%,4.5%,10.0%,81.8%
36113,36000,2.6%,1.8%,10.4%,13.0%,72.3%
36115,36000,2.6%,2.7%,13.5%,13.8%,67.3%
36117,36000,0.1%,1.6%,6.1%,13.2%,78.9%
36119,36000,2.5%,1.8%,4.4%,11.5%,79.8%
36121,36000,0.1%,2.4%,0.8%,10.7%,86.1%
36123,36000,0.0%,0.6%,2.3%,8.7%,88.4%
37001,37000,4.0%,7.3%,12.6%,17.5%,58.6%
37003,37000,2.7%,2.3%,10.3%,27.2%,57.5%
37005,37000,15.3%,6.7%,6.7%,21.0%,50.4%
37007,37000,5.3%,6.2%,8.0%,16.3%,64.1%
37009,37000,14.9%,2.6%,8.3%,28.7%,45.5%
37011,37000,9.6%,1.0%,21.2%,17.3%,50.9%
37013,37000,3.7%,8.0%,4.1%,21.9%,62.3%
37015,37000,10.0%,4.0%,6.4%,21.4%,58.2%
37017,37000,7.3%,2.3%,7.6%,10.4%,72.4%
37019,37000,2.4%,1.8%,3.6%,24.8%,67.3%
37021,37000,0.9%,2.3%,4.4%,23.0%,69.3%
37023,37000,9.1%,5.6%,12.4%,18.9%,54.0%
37025,37000,4.0%,2.2%,9.2%,27.0%,57.6%
37027,37000,2.8%,3.1%,7.2%,19.9%,67.0%
37029,37000,9.1%,2.5%,12.1%,18.8%,57.5%
37031,37000,1.0%,6.7%,16.7%,19.7%,56.0%
37033,37000,6.0%,3.5%,19.9%,17.9%,52.7%
37035,37000,3.5%,7.0%,13.0%,21.4%,55.1%
37037,37000,0.7%,2.5%,6.3%,13.9%,76.6%
37039,37000,8.5%,10.9%,10.1%,14.7%,55.7%
37041,37000,4.4%,1.1%,15.2%,29.6%,49.7%
37043,37000,9.9%,9.1%,9.5%,16.9%,54.6%
37045,37000,6.2%,12.1%,9.4%,15.1%,57.3%
37047,37000,17.9%,4.3%,11.3%,15.5%,51.1%
37049,37000,3.4%,6.8%,21.2%,21.5%,47.0%
37051,37000,2.8%,4.7%,10.0%,17.5%,64.9%
37053,37000,15.7%,2.1%,13.1%,16.7%,52.4%
37055,37000,2.8%,0.5%,10.2%,19.4%,67.1%
37057,37000,5.8%,8.5%,16.9%,13.4%,55.4%
37059,37000,7.4%,6.7%,3.7%,14.0%,68.1%
37061,37000,6.8%,4.4%,14.3%,12.6%,62.0%
37063,37000,1.7%,1.4%,3.3%,10.4%,83.2%
37065,37000,2.1%,3.7%,5.5%,18.4%,70.3%
37067,37000,2.0%,2.2%,6.8%,18.3%,70.6%
37069,37000,3.8%,3.0%,6.1%,12.7%,74.5%
37071,37000,3.8%,7.9%,5.4%,19.7%,63.2%
37073,37000,0.8%,2.2%,19.0%,21.0%,57.0%
37075,37000,9.5%,7.2%,9.6%,23.6%,50.2%
37077,37000,4.2%,3.3%,8.2%,10.7%,73.6%
37079,37000,7.2%,6.1%,12.7%,24.0%,50.1%
37081,37000,4.0%,5.5%,11.7%,19.9%,58.8%
37083,37000,1.4%,0.7%,6.8%,20.0%,71.1%
37085,37000,3.1%,6.9%,6.0%,12.9%,71.1%
37087,37000,7.7%,3.9%,3.0%,18.8%,66.6%
37089,37000,1.4%,2.8%,4.2%,20.1%,71.5%
37091,37000,2.0%,0.7%,6.0%,21.7%,69.6%
37093,37000,0.9%,4.7%,9.2%,23.6%,61.6%
37095,37000,13.3%,3.0%,8.0%,25.9%,49.8%
37097,37000,8.0%,5.1%,10.6%,21.9%,54.4%
37099,37000,7.7%,6.5%,6.7%,17.6%,61.6%
37101,37000,3.2%,2.2%,11.3%,15.1%,68.2%
37103,37000,6.4%,5.1%,20.8%,23.3%,44.5%
37105,37000,6.6%,10.2%,8.1%,11.5%,63.6%
37107,37000,10.9%,4.1%,11.2%,22.8%,51.0%
37109,37000,2.9%,9.0%,8.4%,23.4%,56.3%
37111,37000,7.5%,11.4%,10.5%,14.3%,56.3%
37113,37000,15.3%,3.9%,8.5%,18.2%,54.1%
37115,37000,1.6%,3.4%,8.0%,17.8%,69.2%
37117,37000,8.4%,8.9%,7.1%,15.0%,60.5%
37119,37000,2.9%,3.7%,7.5%,16.6%,69.4%
37121,37000,9.6%,3.5%,14.6%,15.4%,56.9%
37123,37000,2.7%,5.6%,7.8%,18.4%,65.5%
37125,37000,3.9%,10.5%,4.1%,23.7%,57.8%
37127,37000,4.4%,3.2%,3.8%,21.2%,67.3%
37129,37000,1.9%,3.2%,3.2%,25.0%,66.7%
37131,37000,1.7%,0.3%,6.7%,20.1%,71.2%
37133,37000,3.9%,3.9%,15.9%,25.4%,50.9%
37135,37000,1.0%,2.0%,2.8%,14.2%,80.1%
37137,37000,3.6%,5.7%,18.1%,24.3%,48.2%
37139,37000,6.7%,2.1%,11.0%,23.8%,56.3%
37141,37000,5.0%,3.5%,14.2%,16.9%,60.3%
37143,37000,3.6%,1.4%,15.4%,29.9%,49.8%
37145,37000,1.0%,0.8%,7.0%,16.6%,74.6%
37147,37000,3.4%,6.5%,8.5%,20.4%,61.2%
37149,37000,1.8%,11.5%,10.5%,26.3%,49.9%
37151,37000,6.6%,7.8%,10.5%,13.8%,61.3%
37153,37000,5.0%,3.9%,14.5%,15.3%,61.2%
37155,37000,6.2%,3.1%,11.6%,16.5%,62.6%
37157,37000,12.5%,9.4%,12.4%,11.1%,54.6%
37159,37000,8.6%,6.5%,13.1%,17.5%,54.2%
37161,37000,4.5%,17.0%,9.8%,15.6%,53.2%
37163,37000,0.6%,0.5%,8.4%,19.7%,70.8%
37165,37000,13.7%,2.9%,17.8%,19.9%,45.8%
37167,37000,2.9%,8.3%,9.7%,21.7%,57.4%
37169,37000,1.5%,3.4%,11.6%,24.7%,58.8%
37171,37000,1.9%,4.1%,10.0%,38.2%,45.8%
37173,37000,7.9%,6.1%,8.6%,24.7%,52.8%
37175,37000,2.5%,1.3%,4.7%,22.4%,69.1%
37177,37000,5.4%,1.6%,10.3%,30.1%,52.7%
37179,37000,6.0%,4.5%,6.7%,21.3%,61.5%
37181,37000,4.2%,3.1%,13.7%,15.9%,63.1%
37183,37000,1.5%,2.0%,7.0%,16.8%,72.7%
37185,37000,2.7%,2.4%,10.5%,15.8%,68.6%
37187,37000,11.3%,5.3%,5.7%,30.1%,47.6%
37189,37000,6.2%,1.0%,7.2%,36.3%,49.3%
37191,37000,1.7%,1.8%,9.0%,13.2%,74.4%
37193,37000,4.6%,7.1%,16.4%,20.8%,51.1%
37195,37000,1.3%,6.7%,8.1%,24.8%,59.0%
37197,37000,7.3%,2.7%,8.0%,19.9%,62.1%
37199,37000,2.8%,1.9%,6.3%,22.4%,66.5%
38001,38000,21.9%,16.6%,18.9%,23.3%,19.3%
38003,38000,11.1%,7.9%,13.7%,24.8%,42.5%
38005,38000,28.9%,19.4%,11.8%,19.5%,20.4%
38007,38000,20.0%,20.1%,13.7%,24.4%,21.8%
38009,38000,20.6%,11.9%,14.2%,25.9%,27.4%
38011,38000,18.8%,14.1%,14.6%,26.2%,26.3%
38013,38000,19.1%,14.7%,15.1%,25.8%,25.3%
38015,38000,17.2%,23.3%,9.1%,29.7%,20.7%
38017,38000,9.0%,11.3%,14.2%,23.3%,42.3%
38019,38000,14.6%,27.2%,16.5%,22.2%,19.5%
38021,38000,15.1%,7.7%,22.7%,27.7%,26.7%
38023,38000,18.6%,16.8%,16.3%,25.5%,22.7%
38025,38000,19.5%,18.9%,12.5%,25.2%,23.9%
38027,38000,26.9%,15.9%,11.7%,20.9%,24.6%
38029,38000,16.0%,22.1%,9.4%,30.2%,22.2%
38031,38000,26.5%,8.1%,8.1%,27.0%,30.4%
38033,38000,18.7%,20.6%,14.9%,25.6%,20.3%
38035,38000,9.7%,12.2%,22.2%,25.3%,30.5%
38037,38000,17.7%,23.3%,12.5%,27.5%,19.0%
38039,38000,16.2%,5.4%,19.7%,21.7%,37.0%
38041,38000,21.8%,20.7%,15.0%,23.2%,19.3%
38043,38000,19.3%,20.6%,7.4%,30.1%,22.6%
38045,38000,11.5%,7.0%,19.3%,30.7%,31.5%
38047,38000,17.2%,15.6%,10.4%,29.5%,27.2%
38049,38000,20.6%,13.2%,12.4%,26.3%,27.5%
38051,38000,16.9%,12.8%,13.6%,27.5%,29.1%
38053,38000,19.0%,18.2%,14.2%,25.3%,23.2%
38055,38000,18.9%,18.5%,10.7%,27.3%,24.6%
38057,38000,18.9%,19.7%,11.1%,26.6%,23.7%
38059,38000,17.2%,23.5%,9.6%,29.3%,20.5%
38061,38000,19.2%,16.0%,13.4%,25.8%,25.6%
38063,38000,13.3%,18.3%,19.3%,21.8%,27.4%
38065,38000,18.1%,21.7%,10.2%,28.0%,22.1%
38067,38000,8.0%,21.6%,20.2%,25.6%,24.7%
38069,38000,25.3%,13.6%,12.0%,24.6%,24.6%
38071,38000,24.2%,25.0%,13.8%,17.5%,19.5%
38073,38000,7.3%,11.4%,22.3%,23.6%,35.4%
38075,38000,19.3%,13.0%,14.1%,26.2%,27.4%
38077,38000,15.5%,17.4%,18.9%,11.6%,36.6%
38079,38000,24.8%,15.4%,13.5%,23.5%,22.8%
38081,38000,8.1%,16.3%,24.9%,25.1%,25.7%
38083,38000,20.3%,18.6%,9.1%,28.5%,23.5%
38085,38000,15.7%,22.8%,10.8%,29.5%,21.1%
38087,38000,21.7%,17.9%,14.2%,24.6%,21.5%
38089,38000,20.7%,20.5%,12.9%,24.0%,21.9%
38091,38000,17.2%,6.1%,30.2%,18.2%,28.3%
38093,38000,20.2%,5.3%,7.6%,31.4%,35.4%
38095,38000,26.3%,23.2%,12.7%,19.8%,18.0%
38097,38000,14.4%,11.5%,20.5%,23.3%,30.3%
38099,38000,8.7%,18.1%,20.8%,25.3%,27.1%
38101,38000,19.5%,13.8%,12.7%,26.3%,27.6%
38103,38000,25.4%,16.3%,8.3%,27.5%,22.6%
38105,38000,18.6%,18.2%,15.5%,25.4%,22.3%
39001,39000,7.4%,11.6%,14.9%,22.2%,43.9%
39003,39000,8.5%,10.4%,11.4%,38.2%,31.4%
39005,39000,6.8%,3.5%,26.8%,19.0%,43.8%
39007,39000,14.4%,0.8%,9.9%,25.7%,49.2%
39009,39000,7.1%,11.5%,16.4%,23.6%,41.3%
39011,39000,13.1%,8.9%,15.3%,34.2%,28.5%
39013,39000,8.2%,8.6%,11.8%,25.0%,46.4%
39015,39000,17.7%,17.7%,10.1%,12.8%,41.7%
39017,39000,4.7%,7.2%,10.6%,24.4%,53.1%
39019,39000,14.7%,26.1%,5.2%,15.0%,39.0%
39021,39000,8.4%,5.1%,27.4%,26.9%,32.1%
39023,39000,6.6%,2.7%,19.0%,24.7%,47.1%
39025,39000,8.2%,6.9%,7.4%,19.2%,58.4%
39027,39000,17.1%,19.8%,7.1%,10.5%,45.5%
39029,39000,9.8%,8.0%,11.5%,15.6%,55.1%
39031,39000,7.7%,19.4%,29.4%,17.8%,25.8%
39033,39000,10.1%,10.7%,12.6%,18.4%,48.2%
39035,39000,4.2%,5.2%,8.4%,21.3%,60.9%
39037,39000,21.6%,8.4%,15.0%,28.0%,27.1%
39039,39000,5.2%,11.4%,15.2%,22.1%,46.2%
39041,39000,1.8%,8.1%,8.4%,17.7%,64.0%
39043,39000,7.8%,2.2%,9.1%,17.9%,63.0%
39045,39000,10.0%,9.5%,13.5%,14.2%,52.7%
39047,39000,15.7%,5.5%,32.8%,15.8%,30.2%
39049,39000,4.2%,5.4%,9.0%,19.8%,61.7%
39051,39000,2.9%,4.6%,31.8%,27.2%,33.5%
39053,39000,7.4%,8.2%,20.3%,17.8%,46.3%
39055,39000,3.0%,5.7%,6.4%,21.8%,63.1%
39057,39000,4.1%,8.2%,9.5%,26.4%,51.9%
39059,39000,10.1%,16.2%,13.7%,18.1%,41.9%
39061,39000,6.9%,5.6%,10.2%,22.4%,54.9%
39063,39000,7.6%,12.7%,12.2%,30.2%,37.3%
39065,39000,14.9%,12.1%,13.4%,22.7%,36.8%
39067,39000,10.7%,14.1%,15.3%,23.3%,36.5%
39069,39000,3.8%,11.1%,18.9%,19.7%,46.5%
39071,39000,15.7%,14.4%,6.8%,16.2%,46.8%
39073,39000,16.9%,13.7%,21.0%,10.4%,38.0%
39075,39000,5.0%,8.7%,13.4%,27.1%,45.7%
39077,39000,19.1%,6.4%,20.4%,17.2%,36.9%
39079,39000,16.6%,14.1%,24.7%,10.5%,34.1%
39081,39000,7.6%,14.2%,15.2%,20.9%,42.0%
39083,39000,13.8%,10.0%,6.5%,17.0%,52.6%
39085,39000,6.7%,3.9%,10.4%,24.6%,54.4%
39087,39000,8.9%,9.7%,18.5%,23.0%,39.9%
39089,39000,5.6%,10.2%,17.6%,12.7%,53.9%
39091,39000,13.6%,11.7%,31.4%,24.8%,18.6%
39093,39000,8.9%,9.7%,9.9%,20.7%,50.8%
39095,39000,7.8%,5.6%,11.1%,18.9%,56.6%
39097,39000,3.7%,8.7%,16.7%,26.2%,44.7%
39099,39000,4.6%,9.9%,9.9%,23.1%,52.5%
39101,39000,8.4%,18.0%,11.5%,15.9%,46.2%
39103,39000,6.8%,7.7%,12.5%,22.7%,50.3%
39105,39000,7.2%,13.7%,18.2%,17.7%,43.2%
39107,39000,10.2%,10.5%,24.5%,31.4%,23.3%
39109,39000,7.7%,7.0%,19.0%,22.7%,43.6%
39111,39000,4.0%,14.4%,13.9%,29.1%,38.6%
39113,39000,4.1%,6.5%,6.5%,22.2%,60.7%
39115,39000,14.2%,11.4%,15.3%,25.9%,33.2%
39117,39000,5.9%,9.4%,7.5%,31.0%,46.2%
39119,39000,13.6%,14.5%,12.1%,18.2%,41.6%
39121,39000,10.9%,17.6%,13.9%,21.9%,35.7%
39123,39000,5.2%,3.5%,8.4%,21.9%,60.9%
39125,39000,9.5%,6.1%,24.0%,31.4%,29.0%
39127,39000,13.8%,14.9%,21.4%,19.0%,30.9%
39129,39000,6.7%,8.7%,9.2%,24.4%,51.0%
39131,39000,18.6%,12.4%,12.4%,15.8%,40.9%
39133,39000,2.8%,7.8%,12.6%,21.3%,55.5%
39135,39000,4.5%,14.6%,18.6%,24.8%,37.5%
39137,39000,4.1%,11.8%,25.3%,30.7%,28.0%
39139,39000,6.6%,8.0%,21.3%,22.1%,41.9%
39141,39000,18.1%,10.3%,10.1%,16.8%,44.7%
39143,39000,13.9%,7.4%,10.9%,20.9%,46.9%
39145,39000,12.1%,9.6%,24.2%,15.6%,38.7%
39147,39000,11.9%,19.5%,24.3%,16.4%,27.9%
39149,39000,18.2%,11.9%,21.6%,28.3%,20.0%
39151,39000,6.5%,11.0%,10.2%,19.8%,52.5%
39153,39000,4.8%,5.6%,12.5%,20.7%,56.5%
39155,39000,5.4%,5.9%,12.1%,23.0%,53.5%
39157,39000,12.6%,20.4%,11.6%,21.5%,33.9%
39159,39000,17.5%,1.8%,9.9%,24.5%,46.3%
39161,39000,6.9%,8.4%,22.3%,41.2%,21.2%
39163,39000,9.0%,16.5%,21.8%,14.7%,38.0%
39165,39000,6.2%,4.4%,8.5%,16.2%,64.7%
39167,39000,7.2%,12.1%,14.2%,29.0%,37.5%
39169,39000,6.4%,8.2%,14.4%,24.5%,46.6%
39171,39000,3.5%,13.3%,19.9%,20.8%,42.5%
39173,39000,2.9%,6.1%,8.6%,25.2%,57.2%
39175,39000,10.0%,20.1%,13.8%,13.5%,42.6%
40001,40000,10.5%,6.8%,25.8%,21.3%,35.6%
40003,40000,20.3%,9.6%,18.8%,25.0%,26.2%
40005,40000,7.6%,18.4%,11.1%,28.4%,34.5%
40007,40000,15.3%,15.4%,8.5%,22.3%,38.4%
40009,40000,8.8%,26.5%,18.7%,12.1%,33.9%
40011,40000,2.9%,8.1%,24.4%,32.0%,32.6%
40013,40000,9.4%,8.7%,12.5%,23.7%,45.7%
40015,40000,1.3%,11.1%,19.4%,23.9%,44.4%
40017,40000,4.3%,7.3%,10.3%,30.9%,47.2%
40019,40000,12.8%,16.9%,13.8%,21.3%,35.1%
40021,40000,9.9%,12.1%,21.2%,24.0%,32.7%
40023,40000,6.4%,11.3%,11.9%,25.1%,45.4%
40025,40000,14.0%,8.9%,15.3%,26.0%,35.8%
40027,40000,4.6%,10.1%,7.9%,25.0%,52.4%
40029,40000,7.5%,12.0%,10.5%,30.7%,39.4%
40031,40000,5.4%,17.9%,12.7%,22.6%,41.3%
40033,40000,6.0%,11.7%,10.2%,17.3%,54.8%
40035,40000,24.7%,11.3%,23.6%,11.2%,29.2%
40037,40000,15.4%,7.4%,14.5%,21.2%,41.5%
40039,40000,0.6%,27.4%,41.3%,13.0%,17.7%
40041,40000,18.8%,18.7%,20.2%,10.7%,31.6%
40043,40000,6.6%,18.5%,28.6%,21.9%,24.4%
40045,40000,13.2%,22.0%,13.5%,20.7%,30.6%
40047,40000,23.3%,10.3%,12.7%,28.0%,25.8%
40049,40000,7.5%,8.7%,15.7%,24.9%,43.3%
40051,40000,4.7%,9.8%,18.5%,24.9%,42.2%
40053,40000,20.5%,13.6%,14.5%,25.5%,25.7%
40055,40000,7.3%,19.0%,14.8%,22.5%,36.5%
40057,40000,10.5%,15.8%,16.0%,23.9%,33.8%
40059,40000,15.8%,18.9%,11.8%,25.7%,27.8%
40061,40000,14.6%,9.0%,20.3%,25.8%,30.3%
40063,40000,8.9%,3.7%,14.6%,21.3%,51.4%
40065,40000,2.1%,12.7%,14.8%,29.1%,41.1%
40067,40000,8.4%,10.8%,16.3%,14.0%,50.5%
40069,40000,8.8%,13.7%,15.7%,24.4%,37.4%
40071,40000,9.9%,12.0%,13.5%,22.5%,41.9%
40073,40000,4.6%,9.3%,5.0%,19.2%,61.9%
40075,40000,2.5%,19.0%,13.1%,23.9%,41.5%
40077,40000,15.9%,13.6%,18.4%,27.7%,24.5%
40079,40000,14.2%,15.2%,15.6%,19.6%,35.4%
40081,40000,13.5%,10.3%,20.4%,22.2%,33.7%
40083,40000,3.0%,2.7%,11.4%,31.0%,51.9%
40085,40000,18.8%,8.0%,10.3%,19.5%,43.5%
40087,40000,9.2%,9.9%,6.8%,19.7%,54.5%
40089,40000,13.1%,14.1%,11.7%,18.7%,42.3%
40091,40000,8.5%,5.7%,26.5%,22.1%,37.3%
40093,40000,16.9%,7.2%,21.2%,28.5%,26.1%
40095,40000,13.0%,7.4%,11.4%,25.6%,42.5%
40097,40000,17.3%,17.5%,21.3%,13.5%,30.3%
40099,40000,4.2%,15.4%,24.7%,21.8%,34.0%
40101,40000,6.3%,8.8%,26.2%,19.8%,38.8%
40103,40000,6.9%,8.5%,10.0%,25.3%,49.3%
40105,40000,14.8%,12.1%,16.4%,18.1%,38.6%
40107,40000,11.2%,3.5%,24.1%,19.3%,41.9%
40109,40000,9.6%,6.4%,9.7%,22.5%,51.8%
40111,40000,7.8%,5.2%,20.4%,27.6%,39.0%
40113,40000,7.7%,10.3%,23.0%,21.8%,37.2%
40115,40000,15.4%,13.0%,22.9%,15.1%,33.7%
40117,40000,17.8%,8.5%,15.9%,21.3%,36.5%
40119,40000,8.3%,6.8%,12.9%,20.7%,51.4%
40121,40000,11.7%,11.2%,15.3%,36.0%,25.8%
40123,40000,2.9%,3.3%,10.2%,23.5%,60.1%
40125,40000,4.2%,5.2%,27.8%,23.6%,39.2%
40127,40000,7.7%,15.2%,12.2%,26.1%,38.8%
40129,40000,10.9%,24.8%,19.2%,9.1%,36.0%
40131,40000,9.7%,10.5%,16.4%,20.1%,43.3%
40133,40000,9.5%,3.4%,22.5%,16.9%,47.8%
40135,40000,10.6%,11.0%,20.9%,21.2%,36.2%
40137,40000,4.1%,8.8%,21.0%,28.6%,37.5%
40139,40000,12.3%,12.0%,10.2%,22.5%,43.0%
40141,40000,4.2%,14.2%,11.0%,22.5%,48.0%
40143,40000,7.4%,6.1%,14.1%,24.3%,48.2%
40145,40000,3.2%,11.2%,17.5%,30.6%,37.5%
40147,40000,11.8%,18.3%,16.2%,19.2%,34.5%
40149,40000,2.4%,25.6%,24.3%,16.4%,31.3%
40151,40000,16.5%,11.6%,16.6%,28.1%,27.2%
40153,40000,14.6%,23.2%,14.5%,24.7%,22.9%
41001,41000,5.1%,18.9%,17.9%,18.9%,39.2%
41003,41000,0.7%,0.7%,5.9%,15.6%,77.0%
41005,41000,1.6%,2.4%,7.1%,16.8%,72.1%
41007,41000,5.2%,2.7%,5.1%,7.3%,79.7%
41009,41000,4.8%,1.5%,15.8%,17.4%,60.4%
41011,41000,12.8%,6.1%,13.6%,9.9%,57.7%
41013,41000,1.9%,7.5%,2.7%,24.6%,63.3%
41015,41000,2.5%,5.8%,10.0%,16.2%,65.5%
41017,41000,1.0%,6.1%,1.4%,25.0%,66.6%
41019,41000,8.2%,5.2%,11.6%,23.9%,51.1%
41021,41000,0.8%,0.3%,4.9%,33.2%,60.7%
41023,41000,1.4%,6.2%,13.2%,12.0%,67.1%
41025,41000,3.2%,9.9%,11.4%,15.7%,59.8%
41027,41000,3.0%,7.1%,12.7%,16.2%,61.0%
41029,41000,4.4%,7.7%,7.5%,13.8%,66.5%
41031,41000,1.8%,6.2%,1.2%,25.0%,65.7%
41033,41000,2.8%,5.6%,7.2%,19.2%,65.2%
41035,41000,9.7%,3.1%,6.2%,22.7%,58.3%
41037,41000,5.0%,1.7%,12.7%,24.7%,55.8%
41039,41000,3.1%,3.6%,7.7%,13.7%,71.9%
41041,41000,0.1%,1.2%,4.7%,13.1%,81.0%
41043,41000,5.7%,2.5%,9.6%,15.9%,66.4%
41045,41000,7.1%,20.6%,21.3%,20.6%,30.5%
41047,41000,2.9%,1.3%,5.3%,19.6%,71.0%
41049,41000,2.6%,0.4%,8.3%,19.7%,69.0%
41051,41000,1.3%,1.6%,5.4%,17.8%,73.8%
41053,41000,1.3%,2.2%,7.8%,24.2%,64.5%
41055,41000,0.8%,1.4%,4.6%,27.1%,66.0%
41057,41000,12.5%,4.0%,9.2%,16.3%,58.1%
41059,41000,4.3%,1.0%,8.1%,15.5%,71.0%
41061,41000,3.4%,8.8%,8.6%,18.9%,60.3%
41063,41000,4.1%,8.3%,14.6%,22.9%,50.1%
41065,41000,1.9%,3.4%,6.9%,19.7%,68.1%
41067,41000,0.6%,0.9%,5.9%,16.9%,75.6%
41069,41000,2.3%,7.0%,4.9%,23.2%,62.6%
41071,41000,2.1%,3.5%,7.2%,14.3%,72.9%
42001,42000,3.9%,3.4%,8.3%,23.8%,60.6%
42003,42000,1.7%,2.2%,3.5%,16.5%,76.1%
42005,42000,2.7%,7.4%,15.9%,17.3%,56.8%
42007,42000,1.5%,2.3%,10.0%,13.7%,72.5%
42009,42000,1.4%,11.1%,10.0%,20.5%,57.0%
42011,42000,3.6%,1.2%,6.0%,17.4%,71.9%
42013,42000,4.1%,13.2%,8.3%,24.9%,49.5%
42015,42000,4.2%,1.7%,5.1%,19.4%,69.7%
42017,42000,1.4%,1.8%,3.2%,13.1%,80.5%
42019,42000,3.5%,6.2%,6.2%,19.4%,64.7%
42021,42000,2.6%,6.2%,15.3%,22.8%,53.0%
42023,42000,14.7%,1.4%,4.8%,14.2%,64.9%
42025,42000,1.3%,6.2%,1.5%,14.5%,76.4%
42027,42000,1.7%,1.3%,7.6%,10.1%,79.2%
42029,42000,0.6%,2.2%,3.8%,11.3%,82.0%
42031,42000,5.7%,3.0%,15.2%,15.5%,60.5%
42033,42000,5.1%,5.5%,17.6%,20.6%,51.2%
42035,42000,1.4%,2.4%,7.7%,19.0%,69.6%
42037,42000,2.0%,4.6%,5.0%,16.3%,72.1%
42039,42000,2.4%,1.6%,13.6%,26.6%,55.8%
42041,42000,3.1%,3.2%,18.3%,19.2%,56.2%
42043,42000,3.2%,2.3%,25.8%,14.7%,53.9%
42045,42000,1.0%,1.0%,4.4%,12.3%,81.4%
42047,42000,5.5%,1.6%,8.4%,15.0%,69.5%
42049,42000,1.6%,2.5%,5.7%,13.6%,76.6%
42051,42000,5.3%,6.4%,14.4%,16.1%,57.8%
42053,42000,1.6%,0.8%,15.8%,19.6%,62.2%
42055,42000,2.3%,4.0%,8.2%,24.8%,60.7%
42057,42000,1.3%,14.5%,5.3%,23.0%,55.9%
42059,42000,10.4%,11.0%,18.7%,12.4%,47.5%
42061,42000,7.0%,6.0%,15.5%,23.2%,48.3%
42063,42000,1.5%,4.7%,6.6%,22.0%,65.2%
42065,42000,8.3%,4.6%,14.2%,19.7%,53.1%
42067,42000,6.5%,6.8%,9.3%,21.4%,56.0%
42069,42000,0.7%,0.6%,3.9%,10.6%,84.3%
42071,42000,3.7%,1.3%,5.4%,17.2%,72.4%
42073,42000,3.4%,7.0%,9.3%,30.1%,50.3%
42075,42000,2.6%,0.8%,6.2%,17.8%,72.5%
42077,42000,1.4%,0.4%,5.3%,10.3%,82.6%
42079,42000,1.6%,2.4%,4.5%,13.6%,77.9%
42081,42000,6.2%,5.7%,6.0%,20.7%,61.4%
42083,42000,1.2%,0.4%,3.0%,13.4%,82.0%
42085,42000,2.8%,4.4%,9.4%,21.5%,62.0%
42087,42000,8.4%,4.9%,12.9%,17.1%,56.7%
42089,42000,1.9%,4.7%,5.2%,6.1%,82.2%
42091,42000,1.6%,1.9%,4.4%,16.0%,76.1%
42093,42000,4.2%,2.2%,7.9%,14.3%,71.4%
42095,42000,1.5%,1.2%,3.4%,11.8%,82.2%
42097,42000,6.4%,1.3%,7.8%,19.7%,64.9%
42099,42000,3.5%,1.7%,10.0%,19.9%,64.9%
42101,42000,2.3%,1.2%,5.1%,12.0%,79.4%
42103,42000,1.0%,1.3%,3.6%,16.5%,77.7%
42105,42000,6.1%,1.1%,6.1%,12.0%,74.7%
42107,42000,6.6%,0.2%,4.8%,17.3%,71.1%
42109,42000,6.2%,3.6%,10.4%,22.6%,57.2%
42111,42000,4.1%,4.0%,18.8%,26.7%,46.4%
42113,42000,2.5%,3.5%,3.8%,14.1%,76.0%
42115,42000,4.6%,2.9%,3.8%,6.5%,82.2%
42117,42000,9.8%,4.4%,11.1%,18.3%,56.5%
42119,42000,7.8%,3.2%,10.3%,21.1%,57.6%
42121,42000,0.4%,1.5%,11.5%,15.2%,71.4%
42123,42000,0.9%,1.9%,11.4%,22.4%,63.4%
42125,42000,5.2%,2.0%,4.5%,14.9%,73.5%
42127,42000,0.4%,0.9%,8.0%,8.0%,82.8%
42129,42000,1.7%,7.0%,6.9%,17.2%,67.3%
42131,42000,3.5%,0.8%,4.9%,7.2%,83.6%
42133,42000,1.8%,2.4%,9.1%,17.4%,69.3%
44001,44000,0.7%,0.3%,2.0%,14.3%,82.7%
44003,44000,1.6%,0.3%,5.0%,12.3%,80.7%
44005,44000,0.4%,0.6%,4.6%,12.9%,81.5%
44007,44000,2.2%,1.4%,5.0%,15.9%,75.4%
44009,44000,1.2%,2.2%,3.4%,12.6%,80.7%
45001,45000,11.7%,10.2%,24.3%,16.6%,37.1%
45003,45000,10.0%,8.6%,11.6%,19.3%,50.5%
45005,45000,17.2%,21.1%,1.2%,22.0%,38.4%
45007,45000,6.9%,6.5%,13.8%,26.0%,46.8%
45009,45000,16.7%,3.1%,5.3%,23.5%,51.5%
45011,45000,16.9%,6.7%,3.5%,28.1%,44.7%
45013,45000,3.8%,2.7%,5.5%,14.7%,73.3%
45015,45000,5.0%,7.4%,10.7%,17.1%,59.7%
45017,45000,6.0%,4.7%,12.9%,17.3%,59.2%
45019,45000,3.6%,5.9%,6.2%,18.6%,65.7%
45021,45000,8.8%,8.3%,12.1%,17.9%,52.8%
45023,45000,15.1%,6.5%,5.5%,23.0%,50.0%
45025,45000,11.7%,7.9%,14.8%,12.9%,52.6%
