county_fips,state_fips,cases,deaths
18131,18000,127,1.0
18133,18000,678,15.0
18135,18000,330,8.0
18137,18000,383,8.0
18139,18000,221,4.0
18141,18000,8211,154.0
18143,18000,488,14.0
18145,18000,1241,37.0
18147,18000,347,6.0
18149,18000,356,8.0
18151,18000,541,9.0
18153,18000,391,12.0
18155,18000,78,0.0
18157,18000,3247,14.0
18159,18000,261,26.0
18161,18000,115,0.0
18163,18000,5126,46.0
18165,18000,176,1.0
18167,18000,2292,32.0
18169,18000,335,9.0
18171,18000,61,1.0
18173,18000,1765,60.0
18175,18000,317,2.0
18177,18000,1400,18.0
18179,18000,367,5.0
18181,18000,530,15.0
18183,18000,379,6.0
19001,19000,106,1.0
19003,19000,56,0.0
19005,19000,299,8.0
19007,19000,188,3.0
19009,19000,121,1.0
19011,19000,441,1.0
19013,19000,4979,96.0
19015,19000,628,8.0
19017,19000,576,7.0
19019,19000,361,3.0
19021,19000,2161,12.0
19023,19000,325,2.0
19025,19000,244,3.0
19027,19000,946,7.0
19029,19000,247,2.0
19031,19000,317,5.0
19033,19000,1195,23.0
19035,19000,344,2.0
19037,19000,312,1.0
19039,19000,296,3.0
19041,19000,446,4.0
19043,19000,324,3.0
19045,19000,1297,25.0
19047,19000,1262,11.0
19049,19000,3163,41.0
19051,19000,146,4.0
19053,19000,109,0.0
19055,19000,614,8.0
19057,19000,1049,9.0
19059,19000,650,7.0
19061,19000,4314,50.0
19063,19000,359,13.0
19065,19000,305,2.0
19067,19000,398,11.0
19069,19000,363,18.0
19071,19000,168,0.0
19073,19000,157,0.0
19075,19000,260,4.0
19077,19000,347,14.0
19079,19000,410,3.0
19081,19000,253,4.0
19083,19000,389,4.0
19085,19000,500,6.0
19087,19000,927,5.0
19089,19000,222,8.0
19091,19000,263,3.0
19093,19000,170,2.0
19095,19000,348,2.0
19097,19000,466,3.0
19099,19000,983,35.0
19101,19000,177,1.0
19103,19000,5517,30.0
19105,19000,366,3.0
19107,19000,134,1.0
19109,19000,393,0.0
19111,19000,792,9.0
19113,19000,4775,122.0
19115,19000,473,15.0
19117,19000,174,6.0
19119,19000,484,5.0
19121,19000,318,2.0
19123,19000,548,21.0
19125,19000,882,10.0
19127,19000,1882,36.0
19129,19000,295,1.0
19131,19000,211,0.0
19133,19000,208,1.0
19135,19000,220,11.0
19137,19000,138,5.0
19139,19000,1244,57.0
19141,19000,532,9.0
19143,19000,227,0.0
19145,19000,301,0.0
19147,19000,267,1.0
19149,19000,1433,24.0
19151,19000,195,2.0
19153,19000,17361,277.0
19155,19000,2717,43.0
19157,19000,396,11.0
19159,19000,76,2.0
19161,19000,338,2.0
19163,19000,3706,32.0
19165,19000,320,1.0
19167,19000,2183,10.0
19169,19000,3752,17.0
19171,19000,868,35.0
19173,19000,204,1.0
19175,19000,193,3.0
19177,19000,143,2.0
19179,19000,1444,60.0
19181,19000,1082,6.0
19183,19000,575,11.0
19185,19000,109,3.0
19187,19000,1599,14.0
19189,19000,375,16.0
19191,19000,399,9.0
19193,19000,6480,81.0
19195,19000,120,0.0
19197,19000,670,1.0
20001,20000,104,1.0
20003,20000,113,0.0
20005,20000,437,4.0
20007,20000,31,0.0
20009,20000,639,7.0
20011,20000,264,3.0
20013,20000,182,5.0
20015,20000,1227,4.0
20017,20000,87,1.0
20019,20000,24,0.0
20021,20000,593,8.0
20023,20000,90,3.0
20025,20000,60,1.0
20027,20000,68,2.0
20029,20000,96,1.0
20031,20000,139,9.0
20033,20000,19,0.0
20035,20000,464,9.0
20037,20000,1294,8.0
20039,20000,44,1.0
20041,20000,261,2.0
20043,20000,157,0.0
20045,20000,2660,14.0
20047,20000,60,0.0
20049,20000,13,0.0
20051,20000,1235,14.0
20053,20000,133,0.0
20055,20000,2469,14.0
20057,20000,3203,10.0
20059,20000,472,3.0
20061,20000,492,4.0
20063,20000,75,0.0
20065,20000,50,1.0
20067,20000,371,8.0
20069,20000,157,0.0
20071,20000,23,0.0
20073,20000,67,0.0
20075,20000,52,0.0
20077,20000,126,2.0
20079,20000,465,8.0
20081,20000,154,1.0
20083,20000,30,0.0
20085,20000,279,3.0
20087,20000,238,4.0
20089,20000,20,1.0
20091,20000,13167,171.0
20093,20000,123,3.0
20095,20000,114,3.0
20097,20000,42,0.0
20099,20000,316,5.0
20101,20000,17,1.0
20103,20000,2449,15.0
20105,20000,16,0.0
20107,20000,101,0.0
20109,20000,60,0.0
20111,20000,1154,37.0
20113,20000,303,3.0
20115,20000,134,1.0
20117,20000,61,0.0
20119,20000,156,1.0
20121,20000,480,1.0
20123,20000,55,0.0
20125,20000,582,6.0
20127,20000,50,0.0
20129,20000,31,2.0
20131,20000,217,1.0
20133,20000,201,0.0
20135,20000,112,7.0
20137,20000,188,0.0
20139,20000,135,0.0
20141,20000,20,0.0
20143,20000,97,0.0
20145,20000,409,1.0
20147,20000,150,9.0
20149,20000,335,0.0
20151,20000,94,0.0
20153,20000,104,0.0
20155,20000,1564,8.0
20157,20000,63,1.0
20159,20000,106,1.0
20161,20000,2003,9.0
20163,20000,130,7.0
20165,20000,90,0.0
20167,20000,141,3.0
20169,20000,929,12.0
20171,20000,172,1.0
20173,20000,10298,107.0
20175,20000,1857,7.0
20177,20000,3180,62.0
20179,20000,95,0.0
20181,20000,130,0.0
20183,20000,19,0.0
20185,20000,69,1.0
20187,20000,79,2.0
20189,20000,188,1.0
20191,20000,234,3.0
20193,20000,227,0.0
20195,20000,69,3.0
20197,20000,77,1.0
20199,20000,23,0.0
20201,20000,26,0.0
20203,20000,13,0.0
20205,20000,93,2.0
20207,20000,26,0.0
20209,20000,7810,134.0
21001,21000,423,20.0
21003,21000,448,10.0
21005,21000,207,1.0
21007,21000,60,1.0
21009,21000,879,13.0
21011,21000,98,1.0
21013,21000,577,16.0
21015,21000,1831,25.0
21017,21000,258,1.0
21019,21000,559,15.0
21021,21000,367,0.0
21023,21000,45,0.0
21025,21000,105,0.0
21027,21000,162,2.0
21029,21000,1124,13.0
21031,21000,389,16.0
21033,21000,218,0.0
21035,21000,799,9.0
21037,21000,1018,19.0
21039,21000,90,1.0
21041,21000,206,5.0
21043,21000,277,4.0
21045,21000,287,16.0
21047,21000,1618,26.0
21049,21000,409,10.0
21051,21000,389,6.0
21053,21000,178,3.0
21055,21000,137,1.0
21057,21000,116,0.0
21059,21000,1730,24.0
21061,21000,171,12.0
21063,21000,61,0.0
21065,21000,232,0.0
21067,21000,9518,84.0
21069,21000,104,0.0
21071,21000,245,4.0
21073,21000,768,13.0
21075,21000,205,3.0
21077,21000,110,8.0
21079,21000,214,3.0
21081,21000,209,6.0
21083,21000,831,29.0
21085,21000,438,15.0
21087,21000,306,9.0
21089,21000,523,5.0
21091,21000,110,1.0
21093,21000,1599,15.0
21095,21000,532,13.0
21097,21000,229,1.0
21099,21000,239,1.0
21101,21000,1126,22.0
21103,21000,221,2.0
21105,21000,95,1.0
21107,21000,870,41.0
21109,21000,406,17.0
21111,21000,20044,339.0
21113,21000,784,1.0
21115,21000,206,2.0
21117,21000,2287,49.0
21119,21000,263,1.0
21121,21000,680,9.0
21123,21000,248,1.0
21125,21000,1175,7.0
21127,21000,108,0.0
21129,21000,27,0.0
21131,21000,108,0.0
21133,21000,261,2.0
21135,21000,255,15.0
21137,21000,258,16.0
21139,21000,107,1.0
21141,21000,663,30.0
21143,21000,92,4.0
21145,21000,899,11.0
21147,21000,228,1.0
21149,21000,115,1.0
21151,21000,2091,9.0
21153,21000,117,0.0
21155,21000,302,10.0
21157,21000,393,4.0
21159,21000,107,3.0
21161,21000,143,2.0
21163,21000,322,3.0
21165,21000,74,1.0
21167,21000,299,5.0
21169,21000,154,2.0
21171,21000,237,4.0
21173,21000,349,4.0
21175,21000,99,0.0
21177,21000,891,13.0
21179,21000,618,4.0
21181,21000,80,1.0
21183,21000,551,9.0
21185,21000,1272,26.0
21187,21000,108,2.0
21189,21000,55,1.0
21191,21000,108,0.0
21193,21000,392,9.0
21195,21000,646,3.0
21197,21000,128,0.0
21199,21000,921,12.0
21201,21000,13,1.0
21203,21000,254,1.0
21205,21000,306,1.0
21207,21000,316,7.0
21209,21000,956,16.0
21211,21000,1217,24.0
21213,21000,309,9.0
21215,21000,248,0.0
21217,21000,388,7.0
21219,21000,241,8.0
21221,21000,214,0.0
21223,21000,77,0.0
21225,21000,441,5.0
21227,21000,4754,57.0
21229,21000,177,1.0
21231,21000,210,0.0
21233,21000,263,4.0
21235,21000,649,3.0
21237,21000,57,0.0
21239,21000,330,0.0
22001,22000,3034,99.0
22003,22000,1771,52.0
22005,22000,3876,98.0
22007,22000,778,24.0
22009,22000,1646,62.0
22011,22000,1033,39.0
22013,22000,549,33.0
22015,22000,3692,111.0
22017,22000,9348,380.0
22019,22000,8095,221.0
22021,22000,324,3.0
22023,22000,236,2.0
22025,22000,453,12.0
22027,22000,584,23.0
22029,22000,558,15.0
22031,22000,964,35.0
22033,22000,15504,451.0
22035,22000,557,6.0
22037,22000,1773,75.0
