county_fips,state_fips,2019_population
13287,13000,"7,985"
13289,13000,"8,120"
13291,13000,"24,511"
13293,13000,"26,320"
13295,13000,"69,761"
13297,13000,"94,593"
13299,13000,"35,734"
13301,13000,"5,254"
13303,13000,"20,374"
13305,13000,"29,927"
13307,13000,"2,607"
13309,13000,"7,855"
13311,13000,"30,798"
13313,13000,"104,628"
13315,13000,"8,635"
13317,13000,"9,777"
13319,13000,"8,954"
13321,13000,"20,247"
15001,15000,"201,513"
15003,15000,"974,563"
15005,15000,86
15007,15000,"72,293"
15009,15000,"167,417"
16001,16000,"481,587"
16003,16000,"4,294"
16005,16000,"87,808"
16007,16000,"6,125"
16009,16000,"9,298"
16011,16000,"46,811"
16013,16000,"23,021"
16015,16000,"7,831"
16017,16000,"45,739"
16019,16000,"119,062"
16021,16000,"12,245"
16023,16000,"2,597"
16025,16000,"1,106"
16027,16000,"229,849"
16029,16000,"7,155"
16031,16000,"24,030"
16033,16000,845
16035,16000,"8,756"
16037,16000,"4,315"
16039,16000,"27,511"
16041,16000,"13,876"
16043,16000,"13,099"
16045,16000,"18,112"
16047,16000,"15,179"
16049,16000,"16,667"
16051,16000,"29,871"
16053,16000,"24,412"
16055,16000,"165,697"
16057,16000,"40,108"
16059,16000,"8,027"
16061,16000,"3,838"
16063,16000,"5,366"
16065,16000,"39,907"
16067,16000,"21,039"
16069,16000,"40,408"
16071,16000,"4,531"
16073,16000,"11,823"
16075,16000,"23,951"
16077,16000,"7,681"
16079,16000,"12,882"
16081,16000,"12,142"
16083,16000,"86,878"
16085,16000,"11,392"
16087,16000,"10,194"
17001,17000,"65,435"
17003,17000,"5,761"
17005,17000,"16,426"
17007,17000,"53,544"
17009,17000,"6,578"
17011,17000,"32,628"
17013,17000,"4,739"
17015,17000,"14,305"
17017,17000,"12,147"
17019,17000,"209,689"
17021,17000,"32,304"
17023,17000,"15,441"
17025,17000,"13,184"
17027,17000,"37,562"
17029,17000,"50,621"
17031,17000,"5,150,233"
17033,17000,"18,667"
17035,17000,"10,766"
17037,17000,"104,897"
17039,17000,"15,638"
17041,17000,"19,465"
17043,17000,"922,921"
17045,17000,"17,161"
17047,17000,"6,395"
17049,17000,"34,008"
17051,17000,"21,336"
17053,17000,"12,961"
17055,17000,"38,469"
17057,17000,"34,340"
17059,17000,"4,828"
17061,17000,"12,969"
17063,17000,"51,054"
17065,17000,"8,116"
17067,17000,"17,708"
17069,17000,"3,821"
17071,17000,"6,646"
17073,17000,"48,913"
17075,17000,"27,114"
17077,17000,"56,750"
17079,17000,"9,610"
17081,17000,"37,684"
17083,17000,"21,773"
17085,17000,"21,235"
17087,17000,"12,417"
17089,17000,"532,403"
17091,17000,"109,862"
17093,17000,"128,990"
17095,17000,"49,699"
17097,17000,"696,535"
17099,17000,"108,669"
17101,17000,"15,678"
17103,17000,"34,096"
17105,17000,"35,648"
17107,17000,"28,618"
17109,17000,"29,682"
17111,17000,"307,774"
17113,17000,"171,517"
17115,17000,"104,009"
17117,17000,"44,926"
17119,17000,"262,966"
17121,17000,"37,205"
17123,17000,"11,438"
17125,17000,"13,359"
17127,17000,"13,772"
17129,17000,"12,196"
17131,17000,"15,437"
17133,17000,"34,637"
17135,17000,"28,414"
17137,17000,"33,658"
17139,17000,"14,501"
17141,17000,"50,643"
17143,17000,"179,179"
17145,17000,"20,916"
17147,17000,"16,344"
17149,17000,"15,561"
17151,17000,"4,177"
17153,17000,"5,335"
17155,17000,"5,739"
17157,17000,"31,782"
17159,17000,"15,513"
17161,17000,"141,879"
17163,17000,"259,686"
17165,17000,"23,491"
17167,17000,"194,672"
17169,17000,"6,768"
17171,17000,"4,951"
17173,17000,"21,634"
17175,17000,"5,342"
17177,17000,"44,498"
17179,17000,"131,803"
17181,17000,"16,653"
17183,17000,"75,758"
17185,17000,"11,520"
17187,17000,"16,844"
17189,17000,"13,887"
17191,17000,"16,215"
17193,17000,"13,537"
17195,17000,"55,175"
17197,17000,"690,743"
17199,17000,"66,597"
17201,17000,"282,572"
17203,17000,"38,459"
18001,18000,"35,777"
18003,18000,"379,299"
18005,18000,"83,779"
18007,18000,"8,748"
18009,18000,"11,758"
